id,title,city,locality,property_type,bhk,area_sqft,bathrooms,furnishing,parking,rent,latitude,longitude
68,4 BHK Independent House in Civil Lines,Raipur,Civil Lines,Independent House,4,1674,3,Semi-Furnished,Yes,37600,21.250302,81.608994
69,4 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,4,1860,4,Semi-Furnished,Yes,15300,21.199766,81.36811
70,1 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,1,551,1,Semi-Furnished,Yes,10000,21.250415,81.607247
71,1 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,1,655,1,Unfurnished,No,5400,21.203091,81.383679
72,4 BHK Apartment in Kachna,Raipur,Kachna,Apartment,4,1603,3,Semi-Furnished,No,27400,21.266968,81.650675
73,2 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,2,888,2,Semi-Furnished,No,16900,21.242127,81.655492
74,4 BHK Apartment in Mowa,Raipur,Mowa,Apartment,4,2131,4,Semi-Furnished,Yes,36100,21.276357,81.692828
75,1 BHK Apartment in Risali,Bhilai,Risali,Apartment,1,534,1,Unfurnished,Yes,6800,21.192291,81.343153
76,2 BHK Independent House in Supela,Bhilai,Supela,Independent House,2,940,2,Unfurnished,No,7700,21.191196,81.309416
77,2 BHK Independent House in Sector 5,Bhilai,Sector 5,Independent House,2,838,1,Unfurnished,Yes,7800,21.188375,81.347736
78,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1439,3,Semi-Furnished,No,19300,21.182524,81.353878
79,4 BHK Independent House in Kabir Nagar,Raipur,Kabir Nagar,Independent House,4,2081,3,Furnished,Yes,37900,21.250416,81.615917
80,1 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,1,495,1,Semi-Furnished,Yes,5200,21.189409,81.339683
81,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,775,2,Unfurnished,Yes,13600,21.262509,81.659332
82,3 BHK Apartment in Sarona,Raipur,Sarona,Apartment,3,1200,3,Furnished,Yes,20600,21.2294,81.59424
83,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,1123,2,Furnished,Yes,25300,21.275408,81.65301
84,3 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,3,1498,3,Semi-Furnished,Yes,14700,21.192465,81.34681
85,3 BHK Independent House in Sector 7,Bhilai,Sector 7,Independent House,3,1423,2,Semi-Furnished,Yes,16600,21.193094,81.341695
86,4 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,4,2143,4,Semi-Furnished,Yes,19300,21.196096,81.34831
87,4 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,4,2143,3,Semi-Furnished,Yes,44200,21.259165,81.634508
88,3 BHK Apartment in Mowa,Raipur,Mowa,Apartment,3,1390,2,Unfurnished,No,19100,21.2732,81.693931
89,3 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,3,1182,3,Unfurnished,Yes,24200,21.234128,81.660022
90,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,964,2,Unfurnished,No,6500,21.214216,81.379645
91,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,1096,2,Furnished,Yes,20600,21.15714,81.787171
92,3 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,3,1600,3,Unfurnished,Yes,32500,21.241757,81.613238
93,3 BHK Independent House in Pandri,Raipur,Pandri,Independent House,3,1661,3,Furnished,Yes,36900,21.259487,81.628987
94,1 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,1,563,1,Semi-Furnished,Yes,12300,21.243192,81.612957
95,4 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,4,2387,4,Semi-Furnished,No,27300,21.191547,81.324563
96,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,852,2,Unfurnished,No,16500,21.242079,81.60399
97,4 BHK Independent House in Sector 7,Bhilai,Sector 7,Independent House,4,2048,4,Furnished,Yes,24200,21.186718,81.341548
98,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,796,2,Semi-Furnished,Yes,9400,21.182914,81.347836
99,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1770,3,Semi-Furnished,No,32100,21.254983,81.643597
100,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1723,3,Semi-Furnished,Yes,14800,21.221677,81.359611
101,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1110,3,Unfurnished,Yes,20300,21.232345,81.649817
102,1 BHK Apartment in Kachna,Raipur,Kachna,Apartment,1,680,1,Semi-Furnished,Yes,12800,21.261824,81.654398
103,1 BHK Apartment in Mowa,Raipur,Mowa,Apartment,1,661,1,Unfurnished,Yes,10800,21.273618,81.696371
104,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1700,2,Unfurnished,Yes,17500,21.193579,81.354869
105,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,1035,2,Semi-Furnished,Yes,12700,21.193741,81.283333
106,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,1001,2,Semi-Furnished,No,7500,21.199212,81.359971
107,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1026,2,Furnished,Yes,23600,21.25965,81.642425
108,2 BHK Independent House in Shankar Nagar,Raipur,Shankar Nagar,Independent House,2,807,2,Unfurnished,Yes,17700,21.254915,81.63715
109,3 BHK Apartment in Pandri,Raipur,Pandri,Apartment,3,1670,3,Semi-Furnished,Yes,31300,21.257077,81.638165
110,3 BHK Independent House in Telibandha,Raipur,Telibandha,Independent House,3,1651,3,Unfurnished,Yes,30300,21.238478,81.664366
111,2 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,2,877,2,Unfurnished,No,5300,21.237765,81.411503
112,3 BHK Apartment in Sarona,Raipur,Sarona,Apartment,3,1116,3,Unfurnished,Yes,15600,21.231152,81.604655
113,2 BHK Independent House in Risali,Bhilai,Risali,Independent House,2,750,1,Semi-Furnished,Yes,9000,21.185024,81.356308
114,2 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,2,927,2,Furnished,Yes,7100,21.230157,81.414857
115,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1096,2,Semi-Furnished,Yes,22100,21.254123,81.639989
116,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,1101,2,Furnished,Yes,14100,21.193862,81.345309
117,4 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,4,2243,4,Semi-Furnished,Yes,44700,21.24803,81.622877
118,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,1039,2,Furnished,No,19500,21.257019,81.619387
119,4 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,4,2135,4,Semi-Furnished,Yes,18200,21.192942,81.346123
120,1 BHK Independent House in Mowa,Raipur,Mowa,Independent House,1,542,1,Furnished,Yes,11700,21.264579,81.689049
121,2 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,2,926,1,Unfurnished,No,8200,21.193983,81.362414
122,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1108,2,Furnished,Yes,22300,21.258855,81.638373
123,3 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,3,1572,2,Semi-Furnished,Yes,15500,21.19249,81.344825
124,3 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,3,1406,3,Semi-Furnished,Yes,26400,21.237694,81.625481
125,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,976,2,Semi-Furnished,Yes,7500,21.192667,81.321415
126,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,978,1,Semi-Furnished,Yes,16700,21.275864,81.685018
127,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,758,2,Unfurnished,Yes,9900,21.223471,81.599123
128,4 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,4,1709,4,Unfurnished,No,32400,21.233903,81.657487
129,1 BHK Apartment in Power House,Bhilai,Power House,Apartment,1,549,1,Furnished,Yes,6900,21.212191,81.315099
130,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,1145,1,Unfurnished,Yes,18000,21.260807,81.609913
131,2 BHK Independent House in Civil Lines,Raipur,Civil Lines,Independent House,2,884,2,Semi-Furnished,Yes,19400,21.242904,81.61503
132,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1244,3,Unfurnished,No,12400,21.192565,81.34362
133,4 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,4,1612,4,Semi-Furnished,Yes,37500,21.23254,81.655988
134,3 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,3,1688,2,Unfurnished,Yes,11700,21.205551,81.389439
135,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,880,2,Semi-Furnished,No,14200,21.221879,81.602293
136,3 BHK Independent House in Telibandha,Raipur,Telibandha,Independent House,3,1770,3,Semi-Furnished,Yes,39900,21.2458,81.668857
137,4 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,4,2301,4,Semi-Furnished,Yes,34900,21.23845,81.622131
138,3 BHK Apartment in Supela,Bhilai,Supela,Apartment,3,1723,3,Semi-Furnished,Yes,14100,21.190024,81.312002
139,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,1060,2,Furnished,Yes,22300,21.237326,81.621079
140,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,1100,1,Unfurnished,Yes,15900,21.221298,81.590851
141,3 BHK Independent House in Junwani,Bhilai,Junwani,Independent House,3,1568,3,Unfurnished,No,13400,21.215725,81.366762
142,1 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,1,650,1,Semi-Furnished,Yes,5300,21.21311,81.385389
143,4 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,4,1711,4,Unfurnished,Yes,36200,21.246157,81.604897
144,3 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,3,1395,3,Semi-Furnished,No,28600,21.241673,81.654963
145,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,1129,1,Furnished,Yes,22100,21.226746,81.594529
146,1 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,1,693,1,Semi-Furnished,Yes,6200,21.20592,81.373783
147,4 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,4,2098,4,Semi-Furnished,Yes,17500,21.201849,81.354161
148,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,987,2,Unfurnished,No,6700,21.212275,81.380153
149,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,540,1,Semi-Furnished,Yes,9700,21.269993,81.671115
150,1 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,1,583,1,Unfurnished,Yes,4100,21.233871,81.422088
151,4 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,4,1933,4,Furnished,Yes,15300,21.233118,81.425513
152,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1383,3,Furnished,Yes,29900,21.233336,81.653528
153,1 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,1,645,1,Semi-Furnished,Yes,5900,21.211596,81.393192
154,3 BHK Independent House in Devendra Nagar,Raipur,Devendra Nagar,Independent House,3,1220,3,Furnished,Yes,30400,21.250548,81.64092
155,2 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,2,790,1,Furnished,Yes,7400,21.202084,81.399416
156,1 BHK Apartment in Pandri,Raipur,Pandri,Apartment,1,571,1,Semi-Furnished,Yes,11200,21.264927,81.628094
157,3 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,3,1438,3,Unfurnished,Yes,11500,21.194186,81.350706
158,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,910,1,Semi-Furnished,Yes,10000,21.199567,81.341289
159,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,802,2,Unfurnished,No,6500,21.189653,81.354445
160,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1035,2,Furnished,No,22600,21.243914,81.626647
161,1 BHK Independent House in Mowa,Raipur,Mowa,Independent House,1,517,1,Unfurnished,Yes,9200,21.279178,81.687303
162,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1763,3,Unfurnished,Yes,27800,21.27169,81.650091
163,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1319,3,Furnished,Yes,24800,21.270751,81.656389
164,1 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,1,488,1,Unfurnished,Yes,3700,21.233974,81.415942
165,3 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,3,1528,3,Semi-Furnished,Yes,33000,21.248207,81.660691
166,1 BHK Apartment in Sarona,Raipur,Sarona,Apartment,1,584,1,Furnished,Yes,11500,21.226998,81.604181
167,2 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,2,959,1,Semi-Furnished,Yes,9600,21.215086,81.364713
168,2 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,2,1093,2,Semi-Furnished,Yes,9300,21.216071,81.366362
169,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,892,1,Semi-Furnished,Yes,21800,21.255199,81.606198
170,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,539,1,Semi-Furnished,Yes,10700,21.278922,81.676393
171,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,886,2,Semi-Furnished,Yes,8000,21.19835,81.337464
172,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1349,3,Semi-Furnished,No,25500,21.257969,81.647024
173,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,1136,2,Semi-Furnished,Yes,16700,21.232423,81.626117
174,2 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,2,1119,1,Unfurnished,Yes,18600,21.245259,81.617064
175,1 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,1,521,1,Semi-Furnished,Yes,11200,21.233882,81.650109
176,4 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,4,1640,4,Semi-Furnished,Yes,37100,21.250658,81.614895
177,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,865,2,Unfurnished,Yes,9200,21.19289,81.353731
178,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,813,2,Semi-Furnished,Yes,8300,21.19497,81.352303
179,4 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,4,1889,4,Unfurnished,Yes,13500,21.205666,81.383052
180,4 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,4,1749,4,Unfurnished,No,24600,21.238878,81.618803
181,3 BHK Independent House in Nehru Nagar,Bhilai,Nehru Nagar,Independent House,3,1636,3,Furnished,No,17500,21.199422,81.348548
182,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,1033,1,Furnished,Yes,21500,21.165467,81.790598
183,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1059,2,Semi-Furnished,Yes,25200,21.249457,81.630433
184,1 BHK Independent House in Kachna,Raipur,Kachna,Independent House,1,696,1,Semi-Furnished,No,13400,21.271309,81.659095
185,1 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,1,510,1,Unfurnished,No,3400,21.232333,81.413889
186,1 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,1,660,1,Semi-Furnished,Yes,15200,21.230928,81.655178
187,1 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,1,584,1,Furnished,Yes,12800,21.245922,81.610725
188,3 BHK Independent House in Katora Talab,Raipur,Katora Talab,Independent House,3,1421,3,Furnished,Yes,27300,21.244152,81.626235
189,4 BHK Apartment in Saddu,Raipur,Saddu,Apartment,4,2284,4,Semi-Furnished,No,38000,21.272756,81.662046
190,1 BHK Apartment in Supela,Bhilai,Supela,Apartment,1,571,1,Semi-Furnished,Yes,4800,21.198481,81.311687
191,4 BHK Independent House in Saddu,Raipur,Saddu,Independent House,4,1687,3,Unfurnished,No,29900,21.274302,81.670183
192,4 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,4,1782,3,Furnished,Yes,40200,21.249383,81.624185
193,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,1076,2,Semi-Furnished,Yes,16500,21.265422,81.696746
194,3 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,3,1351,3,Furnished,Yes,12400,21.211175,81.381595
195,3 BHK Independent House in Pandri,Raipur,Pandri,Independent House,3,1326,2,Furnished,Yes,29100,21.252036,81.64254
196,3 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,3,1305,3,Unfurnished,Yes,21300,21.164758,81.789126
197,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,1025,2,Semi-Furnished,Yes,8700,21.202584,81.367434
198,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,884,2,Unfurnished,Yes,13500,21.263948,81.636383
199,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,1110,2,Semi-Furnished,Yes,9200,21.200369,81.317699
200,3 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,3,1258,3,Furnished,No,35200,21.242097,81.612685
201,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,858,1,Semi-Furnished,Yes,14600,21.258833,81.628498
202,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,1029,2,Furnished,No,14700,21.194332,81.344409
203,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,815,2,Unfurnished,Yes,7400,21.190974,81.334854
204,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,783,2,Unfurnished,Yes,16800,21.253686,81.623886
205,3 BHK Apartment in Power House,Bhilai,Power House,Apartment,3,1253,3,Unfurnished,Yes,12300,21.217337,81.323445
206,4 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,4,2132,4,Semi-Furnished,No,16700,21.209087,81.380695
207,3 BHK Apartment in Pandri,Raipur,Pandri,Apartment,3,1760,3,Semi-Furnished,Yes,29700,21.263369,81.634675
208,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1117,2,Semi-Furnished,Yes,17900,21.244465,81.62103
209,1 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,1,492,1,Semi-Furnished,Yes,9700,21.23494,81.646556
